RegionName,URL
England - West Midlands,https://www.britishcycling.org.uk/events?hc%5B%5D=3&region_id%5B%5D=13&zuv_bc_licence_discipline_id%5B%5D=33%20&zuv_bc_licence_discipline_id%5B%5D=2%20&zuv_bc_licence_discipline_id%5B%5D=43%20&zuv_bc_licence_discipline_id%5B%5D=27%20&zuv_bc_licence_discipline_id%5B%5D=35%20&zuv_bc_licence_discipline_id%5B%5D=61%20&zuv_bc_licence_discipline_id%5B%5D=402%20&zuv_bc_licence_discipline_id%5B%5D=412%20&zuv_bc_licence_discipline_id%5B%5D=422%20&zuv_bc_licence_discipline_id%5B%5D=432%20&zuv_bc_licence_discipline_id%5B%5D=442%20&zuv_bc_licence_discipline_id%5B%5D=452%20&zuv_bc_licence_discipline_id%5B%5D=462%20&zuv_bc_licence_discipline_id%5B%5D=472%20&zuv_bc_licence_discipline_id%5B%5D=482%20&zuv_bc_licence_discipline_id%5B%5D=492%20&zuv_bc_licence_discipline_id%5B%5D=532%20&zuv_bc_licence_discipline_id%5B%5D=542%20&zuv_bc_licence_discipline_id%5B%5D=552%20&zuv_bc_licence_discipline_id%5B%5D=562%20&zuv_bc_licence_discipline_id%5B%5D=572%20&zuv_bc_licence_discipline_id%5B%5D=582%20&zuv_bc_licence_discipline_id%5B%5D=592%20&zuv_bc_licence_discipline_id%5B%5D=602%20&zuv_bc_licence_discipline_id%5B%5D=612%20&zuv_bc_licence_discipline_id%5B%5D=622%20&zuv_bc_licence_discipline_id%5B%5D=312%20&zuv_bc_licence_discipline_id%5B%5D=322%20&zuv_bc_licence_discipline_id%5B%5D=332%20&zuv_bc_licence_discipline_id%5B%5D=705%20&zuv_bc_licence_discipline_id%5B%5D=14%20&zuv_bc_licence_discipline_id%5B%5D=657%20&zuv_bc_licence_discipline_id%5B%5D=658%20&zuv_bc_licence_discipline_id%5B%5D=53%20&zuv_bc_licence_discipline_id%5B%5D=74%20&zuv_bc_licence_discipline_id%5B%5D=655%20&zuv_bc_licence_discipline_id%5B%5D=656%20&zuv_bc_licence_discipline_id%5B%5D=64%20&zuv_bc_licence_discipline_id%5B%5D=13%20&zuv_bc_licence_discipline_id%5B%5D=692%20&zuv_bc_licence_discipline_id%5B%5D=693%20&zuv_bc_licence_discipline_id%5B%5D=46%20&zuv_bc_licence_discipline_id%5B%5D=28&zuv_bc_licence_discipline_id%5B%5D=37
England - Yorkshire,https://www.britishcycling.org.uk/events?hc%5B%5D=3&region_id%5B%5D=12&zuv_bc_licence_discipline_id%5B%5D=33%20&zuv_bc_licence_discipline_id%5B%5D=2%20&zuv_bc_licence_discipline_id%5B%5D=43%20&zuv_bc_licence_discipline_id%5B%5D=27%20&zuv_bc_licence_discipline_id%5B%5D=35%20&zuv_bc_licence_discipline_id%5B%5D=61%20&zuv_bc_licence_discipline_id%5B%5D=402%20&zuv_bc_licence_discipline_id%5B%5D=412%20&zuv_bc_licence_discipline_id%5B%5D=422%20&zuv_bc_licence_discipline_id%5B%5D=432%20&zuv_bc_licence_discipline_id%5B%5D=442%20&zuv_bc_licence_discipline_id%5B%5D=452%20&zuv_bc_licence_discipline_id%5B%5D=462%20&zuv_bc_licence_discipline_id%5B%5D=472%20&zuv_bc_licence_discipline_id%5B%5D=482%20&zuv_bc_licence_discipline_id%5B%5D=492%20&zuv_bc_licence_discipline_id%5B%5D=532%20&zuv_bc_licence_discipline_id%5B%5D=542%20&zuv_bc_licence_discipline_id%5B%5D=552%20&zuv_bc_licence_discipline_id%5B%5D=562%20&zuv_bc_licence_discipline_id%5B%5D=572%20&zuv_bc_licence_discipline_id%5B%5D=582%20&zuv_bc_licence_discipline_id%5B%5D=592%20&zuv_bc_licence_discipline_id%5B%5D=602%20&zuv_bc_licence_discipline_id%5B%5D=612%20&zuv_bc_licence_discipline_id%5B%5D=622%20&zuv_bc_licence_discipline_id%5B%5D=312%20&zuv_bc_licence_discipline_id%5B%5D=322%20&zuv_bc_licence_discipline_id%5B%5D=332%20&zuv_bc_licence_discipline_id%5B%5D=705%20&zuv_bc_licence_discipline_id%5B%5D=14%20&zuv_bc_licence_discipline_id%5B%5D=657%20&zuv_bc_licence_discipline_id%5B%5D=658%20&zuv_bc_licence_discipline_id%5B%5D=53%20&zuv_bc_licence_discipline_id%5B%5D=74%20&zuv_bc_licence_discipline_id%5B%5D=655%20&zuv_bc_licence_discipline_id%5B%5D=656%20&zuv_bc_licence_discipline_id%5B%5D=64%20&zuv_bc_licence_discipline_id%5B%5D=13%20&zuv_bc_licence_discipline_id%5B%5D=692%20&zuv_bc_licence_discipline_id%5B%5D=693%20&zuv_bc_licence_discipline_id%5B%5D=46%20&zuv_bc_licence_discipline_id%5B%5D=28&zuv_bc_licence_discipline_id%5B%5D=37
England - Eastern,https://www.britishcycling.org.uk/events?hc%5B%5D=3&region_id%5B%5D=16&zuv_bc_licence_discipline_id%5B%5D=33%20&zuv_bc_licence_discipline_id%5B%5D=2%20&zuv_bc_licence_discipline_id%5B%5D=43%20&zuv_bc_licence_discipline_id%5B%5D=27%20&zuv_bc_licence_discipline_id%5B%5D=35%20&zuv_bc_licence_discipline_id%5B%5D=61%20&zuv_bc_licence_discipline_id%5B%5D=402%20&zuv_bc_licence_discipline_id%5B%5D=412%20&zuv_bc_licence_discipline_id%5B%5D=422%20&zuv_bc_licence_discipline_id%5B%5D=432%20&zuv_bc_licence_discipline_id%5B%5D=442%20&zuv_bc_licence_discipline_id%5B%5D=452%20&zuv_bc_licence_discipline_id%5B%5D=462%20&zuv_bc_licence_discipline_id%5B%5D=472%20&zuv_bc_licence_discipline_id%5B%5D=482%20&zuv_bc_licence_discipline_id%5B%5D=492%20&zuv_bc_licence_discipline_id%5B%5D=532%20&zuv_bc_licence_discipline_id%5B%5D=542%20&zuv_bc_licence_discipline_id%5B%5D=552%20&zuv_bc_licence_discipline_id%5B%5D=562%20&zuv_bc_licence_discipline_id%5B%5D=572%20&zuv_bc_licence_discipline_id%5B%5D=582%20&zuv_bc_licence_discipline_id%5B%5D=592%20&zuv_bc_licence_discipline_id%5B%5D=602%20&zuv_bc_licence_discipline_id%5B%5D=612%20&zuv_bc_licence_discipline_id%5B%5D=622%20&zuv_bc_licence_discipline_id%5B%5D=312%20&zuv_bc_licence_discipline_id%5B%5D=322%20&zuv_bc_licence_discipline_id%5B%5D=332%20&zuv_bc_licence_discipline_id%5B%5D=705%20&zuv_bc_licence_discipline_id%5B%5D=14%20&zuv_bc_licence_discipline_id%5B%5D=657%20&zuv_bc_licence_discipline_id%5B%5D=658%20&zuv_bc_licence_discipline_id%5B%5D=53%20&zuv_bc_licence_discipline_id%5B%5D=74%20&zuv_bc_licence_discipline_id%5B%5D=655%20&zuv_bc_licence_discipline_id%5B%5D=656%20&zuv_bc_licence_discipline_id%5B%5D=64%20&zuv_bc_licence_discipline_id%5B%5D=13%20&zuv_bc_licence_discipline_id%5B%5D=692%20&zuv_bc_licence_discipline_id%5B%5D=693%20&zuv_bc_licence_discipline_id%5B%5D=46%20&zuv_bc_licence_discipline_id%5B%5D=28&zuv_bc_licence_discipline_id%5B%5D=37
England - North East,https://www.britishcycling.org.uk/events?hc%5B%5D=3&region_id%5B%5D=9&zuv_bc_licence_discipline_id%5B%5D=33%20&zuv_bc_licence_discipline_id%5B%5D=2%20&zuv_bc_licence_discipline_id%5B%5D=43%20&zuv_bc_licence_discipline_id%5B%5D=27%20&zuv_bc_licence_discipline_id%5B%5D=35%20&zuv_bc_licence_discipline_id%5B%5D=61%20&zuv_bc_licence_discipline_id%5B%5D=402%20&zuv_bc_licence_discipline_id%5B%5D=412%20&zuv_bc_licence_discipline_id%5B%5D=422%20&zuv_bc_licence_discipline_id%5B%5D=432%20&zuv_bc_licence_discipline_id%5B%5D=442%20&zuv_bc_licence_discipline_id%5B%5D=452%20&zuv_bc_licence_discipline_id%5B%5D=462%20&zuv_bc_licence_discipline_id%5B%5D=472%20&zuv_bc_licence_discipline_id%5B%5D=482%20&zuv_bc_licence_discipline_id%5B%5D=492%20&zuv_bc_licence_discipline_id%5B%5D=532%20&zuv_bc_licence_discipline_id%5B%5D=542%20&zuv_bc_licence_discipline_id%5B%5D=552%20&zuv_bc_licence_discipline_id%5B%5D=562%20&zuv_bc_licence_discipline_id%5B%5D=572%20&zuv_bc_licence_discipline_id%5B%5D=582%20&zuv_bc_licence_discipline_id%5B%5D=592%20&zuv_bc_licence_discipline_id%5B%5D=602%20&zuv_bc_licence_discipline_id%5B%5D=612%20&zuv_bc_licence_discipline_id%5B%5D=622%20&zuv_bc_licence_discipline_id%5B%5D=312%20&zuv_bc_licence_discipline_id%5B%5D=322%20&zuv_bc_licence_discipline_id%5B%5D=332%20&zuv_bc_licence_discipline_id%5B%5D=705%20&zuv_bc_licence_discipline_id%5B%5D=14%20&zuv_bc_licence_discipline_id%5B%5D=657%20&zuv_bc_licence_discipline_id%5B%5D=658%20&zuv_bc_licence_discipline_id%5B%5D=53%20&zuv_bc_licence_discipline_id%5B%5D=74%20&zuv_bc_licence_discipline_id%5B%5D=655%20&zuv_bc_licence_discipline_id%5B%5D=656%20&zuv_bc_licence_discipline_id%5B%5D=64%20&zuv_bc_licence_discipline_id%5B%5D=13%20&zuv_bc_licence_discipline_id%5B%5D=692%20&zuv_bc_licence_discipline_id%5B%5D=693%20&zuv_bc_licence_discipline_id%5B%5D=46%20&zuv_bc_licence_discipline_id%5B%5D=28&zuv_bc_licence_discipline_id%5B%5D=37
England - North West,https://www.britishcycling.org.uk/events?hc%5B%5D=3&region_id%5B%5D=17&zuv_bc_licence_discipline_id%5B%5D=33%20&zuv_bc_licence_discipline_id%5B%5D=2%20&zuv_bc_licence_discipline_id%5B%5D=43%20&zuv_bc_licence_discipline_id%5B%5D=27%20&zuv_bc_licence_discipline_id%5B%5D=35%20&zuv_bc_licence_discipline_id%5B%5D=61%20&zuv_bc_licence_discipline_id%5B%5D=402%20&zuv_bc_licence_discipline_id%5B%5D=412%20&zuv_bc_licence_discipline_id%5B%5D=422%20&zuv_bc_licence_discipline_id%5B%5D=432%20&zuv_bc_licence_discipline_id%5B%5D=442%20&zuv_bc_licence_discipline_id%5B%5D=452%20&zuv_bc_licence_discipline_id%5B%5D=462%20&zuv_bc_licence_discipline_id%5B%5D=472%20&zuv_bc_licence_discipline_id%5B%5D=482%20&zuv_bc_licence_discipline_id%5B%5D=492%20&zuv_bc_licence_discipline_id%5B%5D=532%20&zuv_bc_licence_discipline_id%5B%5D=542%20&zuv_bc_licence_discipline_id%5B%5D=552%20&zuv_bc_licence_discipline_id%5B%5D=562%20&zuv_bc_licence_discipline_id%5B%5D=572%20&zuv_bc_licence_discipline_id%5B%5D=582%20&zuv_bc_licence_discipline_id%5B%5D=592%20&zuv_bc_licence_discipline_id%5B%5D=602%20&zuv_bc_licence_discipline_id%5B%5D=612%20&zuv_bc_licence_discipline_id%5B%5D=622%20&zuv_bc_licence_discipline_id%5B%5D=312%20&zuv_bc_licence_discipline_id%5B%5D=322%20&zuv_bc_licence_discipline_id%5B%5D=332%20&zuv_bc_licence_discipline_id%5B%5D=705%20&zuv_bc_licence_discipline_id%5B%5D=14%20&zuv_bc_licence_discipline_id%5B%5D=657%20&zuv_bc_licence_discipline_id%5B%5D=658%20&zuv_bc_licence_discipline_id%5B%5D=53%20&zuv_bc_licence_discipline_id%5B%5D=74%20&zuv_bc_licence_discipline_id%5B%5D=655%20&zuv_bc_licence_discipline_id%5B%5D=656%20&zuv_bc_licence_discipline_id%5B%5D=64%20&zuv_bc_licence_discipline_id%5B%5D=13%20&zuv_bc_licence_discipline_id%5B%5D=692%20&zuv_bc_licence_discipline_id%5B%5D=693%20&zuv_bc_licence_discipline_id%5B%5D=46%20&zuv_bc_licence_discipline_id%5B%5D=28&zuv_bc_licence_discipline_id%5B%5D=37
England - Central,https://www.britishcycling.org.uk/events?hc%5B%5D=3&region_id%5B%5D=23&zuv_bc_licence_discipline_id%5B%5D=33%20&zuv_bc_licence_discipline_id%5B%5D=2%20&zuv_bc_licence_discipline_id%5B%5D=43%20&zuv_bc_licence_discipline_id%5B%5D=27%20&zuv_bc_licence_discipline_id%5B%5D=35%20&zuv_bc_licence_discipline_id%5B%5D=61%20&zuv_bc_licence_discipline_id%5B%5D=402%20&zuv_bc_licence_discipline_id%5B%5D=412%20&zuv_bc_licence_discipline_id%5B%5D=422%20&zuv_bc_licence_discipline_id%5B%5D=432%20&zuv_bc_licence_discipline_id%5B%5D=442%20&zuv_bc_licence_discipline_id%5B%5D=452%20&zuv_bc_licence_discipline_id%5B%5D=462%20&zuv_bc_licence_discipline_id%5B%5D=472%20&zuv_bc_licence_discipline_id%5B%5D=482%20&zuv_bc_licence_discipline_id%5B%5D=492%20&zuv_bc_licence_discipline_id%5B%5D=532%20&zuv_bc_licence_discipline_id%5B%5D=542%20&zuv_bc_licence_discipline_id%5B%5D=552%20&zuv_bc_licence_discipline_id%5B%5D=562%20&zuv_bc_licence_discipline_id%5B%5D=572%20&zuv_bc_licence_discipline_id%5B%5D=582%20&zuv_bc_licence_discipline_id%5B%5D=592%20&zuv_bc_licence_discipline_id%5B%5D=602%20&zuv_bc_licence_discipline_id%5B%5D=612%20&zuv_bc_licence_discipline_id%5B%5D=622%20&zuv_bc_licence_discipline_id%5B%5D=312%20&zuv_bc_licence_discipline_id%5B%5D=322%20&zuv_bc_licence_discipline_id%5B%5D=332%20&zuv_bc_licence_discipline_id%5B%5D=705%20&zuv_bc_licence_discipline_id%5B%5D=14%20&zuv_bc_licence_discipline_id%5B%5D=657%20&zuv_bc_licence_discipline_id%5B%5D=658%20&zuv_bc_licence_discipline_id%5B%5D=53%20&zuv_bc_licence_discipline_id%5B%5D=74%20&zuv_bc_licence_discipline_id%5B%5D=655%20&zuv_bc_licence_discipline_id%5B%5D=656%20&zuv_bc_licence_discipline_id%5B%5D=64%20&zuv_bc_licence_discipline_id%5B%5D=13%20&zuv_bc_licence_discipline_id%5B%5D=692%20&zuv_bc_licence_discipline_id%5B%5D=693%20&zuv_bc_licence_discipline_id%5B%5D=46%20&zuv_bc_licence_discipline_id%5B%5D=28&zuv_bc_licence_discipline_id%5B%5D=37


